[2026-09-17 03:59:59] network_view:122 Initialized network view at /home/nate/code/fly-afterlife/flyvis_data/results/flow/0000/000
[2026-09-17 03:59:59] logging_utils:23 epe not in /home/nate/code/fly-afterlife/flyvis_data/results/flow/0000/000/validation, but 'loss' is. Falling back to 'loss'. You can rerun the ensemble validation to make appropriate recordings of the losses.
[2026-09-17 04:00:10] network:222 Initialized network with NumberOfParams(free=734, fixed=2959) parameters.
[2026-09-17 04:00:10] chkpt_utils:36 Recovered network state.
her readouts: pC1 10, vpoEN 4, ORN_DA1 126, JO 1104, DNa02 1/1
his readouts: pC1 156, pIP10 2, mAL 159, LC10a 275, ORN_VA1v 15/73
his DNa02 rest offset -0.15/chunk
pace baselines per chunk: his leg MN 429, her DN 44
t=125.0s  him (+1.06,-1.96)    +12  her (+0.29,-1.35)  dist 0.98  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 86 songs 0 | pace him 0.12 her 0.15 m/s  (819s)
t=130.0s  him (+1.56,-1.96)    -58  her (-0.20,-0.81)  dist 2.11  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 86 songs 0 | pace him 0.13 her 0.15 m/s  (849s)
t=135.0s  him (+1.97,-1.94)   +224  her (-0.86,-0.45)  dist 3.19  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 86 songs 0 | pace him 0.13 her 0.15 m/s  (879s)
t=140.0s  him (+1.83,-1.71)   +480  her (-1.49,-0.05)  dist 3.71  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 86 songs 0 | pace him 0.12 her 0.15 m/s  (908s)
t=145.0s  him (+1.92,-1.88)   -114  her (-1.88,+0.35)  dist 4.41  pC1 21 pIP10 7 LC10a 0 | her pC1 0 vpoEN 0 | contacts 86 songs 0 | pace him 0.13 her 0.15 m/s  (939s)
t=150.0s  him (+1.95,-1.99)   +236  her (-1.22,+0.68)  dist 4.14  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 86 songs 0 | pace him 0.12 her 0.15 m/s  (973s)
t=155.0s  him (+1.89,-1.58)   +397  her (-0.54,+0.98)  dist 3.53  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 86 songs 0 | pace him 0.11 her 0.15 m/s  (1007s)
t=160.0s  him (+1.65,-1.60)   -183  her (+0.04,+1.45)  dist 3.45  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 86 songs 0 | pace him 0.10 her 0.15 m/s  (1049s)
t=165.0s  him (+1.14,-1.54)   -190  her (+0.62,+1.92)  dist 3.51  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 86 songs 0 | pace him 0.10 her 0.15 m/s  (1081s)
t=170.0s  him (+0.64,-1.43)   -202  her (+1.28,+1.74)  dist 3.24  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 86 songs 0 | pace him 0.10 her 0.15 m/s  (1114s)
t=175.0s  him (+0.71,-1.17)   -356  her (+1.92,+1.35)  dist 2.80  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 86 songs 0 | pace him 0.11 her 0.15 m/s  (1145s)
t=180.0s  him (+1.35,-1.06)   -388  her (+1.47,+0.92)  dist 1.99  pC1 0 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 86 songs 0 | pace him 0.13 her 0.15 m/s  (1176s)
t=185.0s  him (+1.88,-1.38)   -425  her (+1.08,+0.30)  dist 1.85  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 86 songs 0 | pace him 0.13 her 0.15 m/s  (1209s)
t=190.0s  him (+1.95,-1.31)   +344  her (+0.86,-0.41)  dist 1.41  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 86 songs 0 | pace him 0.13 her 0.15 m/s  (1239s)
t=195.0s  him (+1.51,-1.34)   -182  her (+1.09,-1.10)  dist 0.48  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 86 songs 0 | pace him 0.11 her 0.15 m/s  (1269s)
t=200.0s  him (+0.88,-1.32)   -189  her (+1.81,-1.13)  dist 0.95  pC1 3 pIP10 0 LC10a 0 | her pC1 7 vpoEN 0 | contacts 113 songs 0 | pace him 0.13 her 0.15 m/s  (1298s)
t=205.0s  him (+0.62,-1.08)   -318  her (+1.45,-1.15)  dist 0.84  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 113 songs 0 | pace him 0.09 her 0.15 m/s  (1329s)
t=210.0s  him (+1.25,-1.06)   -349  her (+0.79,-1.48)  dist 0.62  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 113 songs 0 | pace him 0.13 her 0.15 m/s  (1360s)
t=215.0s  him (+1.90,-1.21)   -346  her (+0.40,-1.88)  dist 1.64  pC1 0 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 113 songs 0 | pace him 0.14 her 0.15 m/s  (1392s)
