type,bodyId,hemilineage,side,nt,sign,from_legs,to_legs,interleg_syn,leg_out_syn,mn_direct_syn,total_out_syn,frac_interleg,contra_syn,ipsi_syn,diag_syn,top_pairs,class
IN04B027,804097,04B,L,acetylcholine,1,lm,lm,72.2,900.0,127.0,1038,0.07,6.7,65.2,0.3,lf->lm lm->lh,ipsilateral
IN14A018,804224,14A,R,glutamate,-1,lh,lh,72.0,512.0,0.0,773,0.093,61.0,11.0,0.0,lh->rh lh->lm,contralateral
IN12B053,804720,12B,R,gaba,-1,lm,lm,72.0,336.0,27.0,391,0.184,5.0,67.0,0.0,lm->lh lm->lf,ipsilateral
IN00A034,805098,00A,M,gaba,-1,rh|lh,rm|rh,72.0,92.0,0.0,954,0.075,19.0,27.7,25.3,rh->rm lh->rm lh->rh,both
IN18B048,809101,18B,R,acetylcholine,1,rh,rh|lh,72.0,181.0,84.0,220,0.327,59.6,8.0,4.4,rh->lh rf->rh,contralateral
IN01B067,810690,01B,R,gaba,-1,rm,rm,72.0,347.0,0.0,579,0.124,6.0,52.0,14.0,rm->rf rm->rh rm->lh,ipsilateral
IN13B078,811055,13B,R,gaba,-1,lm,lm,72.0,469.0,30.0,469,0.154,0.0,72.0,0.0,lm->lh lm->lf,ipsilateral
IN05B073,813539,05B,L,gaba,-1,lf,lm,72.0,72.0,0.0,384,0.188,0.0,72.0,0.0,lf->lm lh->lm,ipsilateral
IN13A060,935501,13A,R,gaba,-1,lf|rf,rf,72.0,108.0,103.0,168,0.429,72.0,0.0,0.0,lf->rf,contralateral
IN20A.22A077,1064911082,20A/22A,L,acetylcholine,1,lh,lf,72.0,72.0,0.0,134,0.537,0.0,72.0,0.0,lh->lf,ipsilateral
IN19A015,800117,19A,L,gaba,-1,lf,lf,71.9,1749.0,386.0,1997,0.036,48.0,15.7,8.2,lf->rf lf->lm lf->rh,both
IN23B028,932854,23B,L,acetylcholine,1,lh,lh|rm,71.9,216.0,0.0,785,0.092,14.5,19.8,37.5,lh->rm lm->lh,both
IN05B018,803189,05B,L,gaba,-1,lh|rh|rm,rh|lm|lh,71.8,97.0,0.0,837,0.086,26.0,23.5,22.4,lh->rh lh->lm rh->lm,both
IN03A079,807988,03A,R,acetylcholine,1,rm,rm,71.8,504.0,176.0,570,0.126,1.3,58.8,11.7,rh->rm rm->lh rm->rh,ipsilateral
IN16B085,807011,16B,R,glutamate,-1,rh,rh,71.7,526.0,98.0,582,0.123,44.6,10.4,16.8,rh->lh lm->rh rm->rh,both
IN09A043,808195,09A,R,gaba,-1,rm|rh|rf,rh,71.7,108.0,0.0,405,0.177,0.0,71.7,0.0,rm->rh rf->rh,ipsilateral
IN07B054,807512,07B,L,acetylcholine,1,rm|lh,rm|lm,71.6,111.0,0.0,444,0.161,29.1,18.6,23.8,rm->lm lh->rm lh->lm,both
IN23B060,817758,23B,R,acetylcholine,1,rm|rf,rf|rm|lm,71.6,104.0,0.0,231,0.31,13.2,49.6,8.8,rm->rf rm->lm,both
IN12B087,904277,12B,R,gaba,-1,lm|rh|lh,lh|rh,71.6,98.0,0.0,342,0.209,27.4,28.6,15.6,lm->lh rh->lh rm->lh,both
IN18B020,904915,18B,L,acetylcholine,1,lm|lh,lh|rm,71.6,94.0,0.0,2412,0.03,18.9,43.6,9.1,lm->lh lm->rm lh->rm,both
IN20A.22A084,912154,20A/22A,R,acetylcholine,1,rm|rh,rm|rh,71.6,174.0,0.0,271,0.264,0.0,71.6,0.0,rh->rm rm->rh rm->rf,ipsilateral
IN14A062,804230,14A,L,glutamate,-1,rh,rh,71.5,432.0,0.0,1017,0.07,0.0,33.5,38.0,rh->lm rf->rh rh->rm,both
IN16B083,907259,16B,R,glutamate,-1,rf,rf|rm,71.5,328.0,80.0,328,0.218,0.0,71.5,0.0,rf->rm rm->rf,ipsilateral
IN05B065,803135,05B,R,gaba,-1,rh|lh,rh|lf|lh|rf,71.4,95.0,0.0,638,0.112,20.3,23.0,28.1,rh->lf rh->lh rh->rf,both
IN16B118,905508,16B,R,glutamate,-1,rh,rh|lh,71.4,225.0,23.0,249,0.287,51.7,16.4,3.3,rh->lh rm->rh,contralateral
IN21A002,800857,21A,R,glutamate,-1,rm,rm,71.3,2469.0,958.0,2571,0.028,7.2,64.1,0.1,rh->rm rm->rh lm->rm,ipsilateral
IN04B086,807170,04B,R,acetylcholine,1,rf|lf,rf,71.3,153.0,118.0,197,0.362,45.1,21.0,5.2,lf->rf rh->rf rf->lf,both
IN17A044,802391,17A,L,acetylcholine,1,lh,lh,71.2,759.0,44.0,783,0.091,25.4,39.8,6.0,lm->lh lh->rh,both
INXXX373,803033,XXX (unassigned),R,acetylcholine,1,rh,lh,71.1,83.0,0.0,1569,0.045,61.3,9.9,0.0,rh->lh lm->lh,contralateral
IN04B032,806162,04B,R,acetylcholine,1,rh,rh,71.1,600.0,219.0,728,0.098,52.1,17.7,1.3,lh->rh rh->rm rh->lh,contralateral
"IN21A045,IN21A046",810248,21A,L,glutamate,-1,lf|lh|rm,lf|rm,71.1,139.0,0.0,344,0.207,2.4,27.6,41.1,lf->rm rm->lf lh->lf,both
IN12B081,813143,12B,R,gaba,-1,lf|rf,lf,71.1,151.0,0.0,210,0.339,50.1,11.5,9.5,rf->lf lf->rf lf->lm,contralateral
IN09A014,801496,09A,R,gaba,-1,rh,rh,71.0,1314.0,7.0,4286,0.017,11.0,60.0,0.0,rh->rm rh->lh,ipsilateral
IN06A016,805548,06A,L,gaba,-1,lh,rm|rh,71.0,71.0,0.0,1239,0.057,17.3,0.0,53.7,lh->rm lh->rh,both
IN12B079_a,805888,12B,R,gaba,-1,lh,lm|lh,71.0,121.0,0.0,529,0.134,0.0,71.0,0.0,lh->lm,ipsilateral
IN12B031,805953,12B,R,gaba,-1,lf,lf|lm,71.0,264.0,81.0,708,0.1,0.0,71.0,0.0,lf->lm,ipsilateral
INXXX417,807095,XXX (unassigned),L,gaba,-1,lh,rh,71.0,81.0,0.0,543,0.131,71.0,0.0,0.0,lh->rh,contralateral
IN07B064,808296,07B,R,acetylcholine,1,rh,rf|lf,71.0,71.0,0.0,692,0.103,6.0,36.0,29.0,rh->rf rh->lf,both
IN03A051,809346,03A,R,acetylcholine,1,rf,rf,71.0,336.0,161.0,399,0.178,71.0,0.0,0.0,lf->rf rf->lf,contralateral
IN07B066,809827,07B,R,acetylcholine,1,rm,lm|lf|rm|lh,71.0,87.0,0.0,456,0.156,39.0,0.0,32.0,rm->lm rm->lf rm->lh,both
IN03B071,810547,03B,R,gaba,-1,rh,rm|lh|rh,71.0,102.0,0.0,503,0.141,31.0,40.0,0.0,rh->rm rh->lh,both
IN03A027,811734,03A,R,acetylcholine,1,rf,rf,71.0,562.0,5.0,698,0.102,42.0,29.0,0.0,rf->lf rf->rm,both
IN12B050,812672,12B,L,gaba,-1,lm,rm|lm,71.0,127.0,68.0,196,0.362,63.0,0.0,8.0,lm->rm lm->rh,contralateral
IN09A064,911755,09A,R,gaba,-1,rf,rf|rm|lf|lh,71.0,117.0,6.0,185,0.384,20.0,32.0,19.0,rf->rm rf->lf rf->lh,both
IN13B022,802740,13B,L,gaba,-1,rm,rm,70.9,1079.0,0.0,1259,0.056,0.0,70.9,0.0,rh->rm rf->rm,ipsilateral
IN06B063,806310,06B,L,gaba,-1,lh|lf,lh|lf|rm,70.9,109.0,0.0,715,0.099,3.2,42.9,24.8,lh->lf lh->rm,both
IN20A.22A024,809008,20A/22A,R,acetylcholine,1,rh,rh,70.9,596.0,141.0,695,0.102,0.0,70.9,0.0,rm->rh rh->rm,ipsilateral
IN04B011,902668,04B,L,acetylcholine,1,lm,lm,70.9,1427.0,242.0,1607,0.044,16.9,53.7,0.3,lf->lm lm->lh lm->rm,ipsilateral
IN20A.22A054,806525,20A/22A,R,acetylcholine,1,rh,rh,70.8,723.0,111.0,881,0.08,0.0,70.8,0.0,rm->rh rh->rm rf->rh,ipsilateral
IN04B046,806633,04B,R,acetylcholine,1,rm,rm,70.8,362.0,132.0,455,0.156,23.4,24.2,23.2,lh->rm rh->rm lm->rm,both
GFC3,812335,-,R,acetylcholine,1,rh|rm,rh,70.8,215.0,49.0,240,0.295,0.0,40.5,30.4,rm->rh lm->rh,both
