type,bodyId,hemilineage,side,nt,sign,from_legs,to_legs,interleg_syn,leg_out_syn,mn_direct_syn,total_out_syn,frac_interleg,contra_syn,ipsi_syn,diag_syn,top_pairs,class
IN12B002,903561,12B,R,gaba,-1,lm|rm|rh,lh|lm|lf,5952.3,7284.0,17.0,14289,0.417,1065.9,2674.6,2211.8,lm->lh lm->lf,both
IN07B002,800085,07B,L,acetylcholine,1,lf|rf|rh,rh|lm|rm|lh,5763.5,6837.0,1191.0,8251,0.699,1005.4,2349.4,2408.7,,both
IN12A001,800073,12A,R,acetylcholine,1,lf|lm,rm|rf|rh,5731.8,6539.0,1575.0,7981,0.718,1452.3,1430.3,2849.2,lf->rm lf->rf lf->rh,both
IN12B002,800030,12B,L,gaba,-1,lm|rh|rm,rh|rm,5608.7,6602.0,6.0,12278,0.457,1205.7,2075.2,2327.8,lm->rh lm->rm,both
IN12A001,800147,12A,L,acetylcholine,1,lf|lm|rf,lf|lm|lh,5375.2,6983.0,1681.0,8682,0.619,847.9,2848.0,1679.3,lf->lm lm->lf,both
IN07B002,800247,07B,R,acetylcholine,1,lf|lh,rh|lm|lh|rm,5305.1,6230.0,1234.0,7734,0.686,871.9,2222.2,2211.0,lf->rh,both
IN07B001,800053,07B,R,acetylcholine,1,rm|rf,lm|lh|rh,5254.8,6021.0,160.0,9394,0.559,1097.7,1885.1,2272.0,rm->lm rm->lh,both
IN27X001,800041,27X,R,gaba,-1,lf|rf,lm|lh|lf,5139.1,5854.0,22.0,10420,0.493,769.2,2208.2,2161.7,lf->lm lf->lh rf->lm,both
IN06B001,800062,06B,L,gaba,-1,lf|lm|rf,lm|rm|rh,5039.6,6054.0,0.0,9395,0.536,937.0,2053.7,2048.9,lf->lm,both
IN07B001,800051,07B,L,acetylcholine,1,lm|lf,rh|rm|lh,4823.7,5528.0,124.0,9252,0.521,900.7,1779.8,2143.2,lm->rh lm->rm,both
IN07B002,800171,07B,L,acetylcholine,1,rm|rh|lm,lm|rh|lh|lf|rm,4651.1,5759.0,887.0,6858,0.678,1067.8,1705.1,1878.2,,both
IN19A006,800174,19A,L,acetylcholine,1,lf,lm,4582.1,5135.0,46.0,5830,0.786,4.1,4510.9,67.1,lf->lm,ipsilateral
IN00A002,801755,00A,M,gaba,-1,rh|lh|rm,lm|lh|rh|rm,4403.9,5492.0,281.0,6513,0.676,1119.3,1657.8,1626.8,rh->lm,both
IN07B002,803210,07B,R,acetylcholine,1,lm|lh|rm,rh|lm|rm|lh|lf,4385.0,5468.0,932.0,6567,0.668,993.9,1794.7,1596.3,lm->rh,both
IN19B010,904022,19B,R,acetylcholine,1,rf,lh|lf|lm,4321.3,4356.0,306.0,6005,0.72,1074.8,176.2,3070.3,rf->lh rf->lf rf->lm,both
IN19A006,800531,19A,L,acetylcholine,1,lm,lh,4310.8,4746.0,31.0,5630,0.766,1.5,4259.8,49.5,lm->lh,ipsilateral
IN01A002,911967,01A,L,acetylcholine,1,lf,lh|rh|rm|lm,4144.3,4306.0,131.0,5168,0.802,519.6,1856.8,1768.0,lf->lh lf->rh lf->rm,both
IN19A006,804444,19A,R,acetylcholine,1,rm,rh,4016.6,4654.0,19.0,5076,0.791,5.0,3963.6,48.0,rm->rh,ipsilateral
IN12B002,800077,12B,L,gaba,-1,lm|rm|rh,rh|rm,3974.4,5105.0,289.0,9804,0.405,928.7,1817.7,1228.1,lm->rh rm->rh lm->rm,both
IN01A002,802438,01A,R,acetylcholine,1,rf|rm,rh|lh|lm|rm,3959.1,4275.0,131.0,5169,0.766,615.7,1599.6,1743.8,rf->rh rf->lh rf->lm,both
IN19B010,800022,19B,L,acetylcholine,1,lf|lm,rh|rm|rf,3950.1,4021.0,527.0,5176,0.763,838.2,167.4,2944.5,lf->rh lf->rm lm->rh,both
IN19A006,82663,19A,R,acetylcholine,1,rf,rm,3768.8,4157.0,28.0,4676,0.806,2.2,3722.0,44.5,rf->rm,ipsilateral
IN02A003,800844,02A,L,glutamate,-1,lh,lm,3608.2,3672.0,257.0,4876,0.74,5.6,3536.2,66.4,lh->lm,ipsilateral
IN03A001,800576,03A,L,acetylcholine,1,lh,lm,3555.9,3709.0,807.0,4978,0.714,7.1,3548.5,0.2,lh->lm,ipsilateral
IN07B006,800149,07B,R,acetylcholine,1,rm|lh|rf,lh|lm|lf,3469.4,4094.0,1320.0,4436,0.782,755.8,1152.5,1561.1,rm->lh rf->lh,both
INXXX025,800054,XXX (unassigned),L,acetylcholine,1,rh|lh,lm|lh|lf,3461.0,4110.0,653.0,5348,0.647,800.8,1196.6,1463.6,rh->lm rh->lh lh->lm,both
IN19A010,800860,19A,L,acetylcholine,1,lf,lm,3385.4,3449.0,1214.0,4078,0.83,0.1,3362.2,23.1,lf->lm,ipsilateral
IN12B002,800071,12B,R,gaba,-1,lh|rh,lm|lh|lf,3383.6,4200.0,83.0,9927,0.341,835.8,1283.6,1264.2,lh->lm rh->lm rh->lh,both
INXXX011,800267,XXX (unassigned),R,acetylcholine,1,rh|lh|rm,lh|rh,3377.7,5362.0,47.0,8101,0.417,2107.5,521.2,749.1,rh->lh lh->rh rm->lh,both
IN07B002,800398,07B,R,acetylcholine,1,lh|rh,lm|lf|rm|rh,3338.6,3936.0,662.0,5360,0.623,602.2,1404.4,1332.0,lh->lm lh->lf lh->rm,both
IN19A018,800525,19A,L,acetylcholine,1,lh,lm|lf,3316.1,3704.0,41.0,4607,0.72,28.5,3088.4,199.2,lh->lm lh->lf,ipsilateral
IN01A009,801067,01A,R,acetylcholine,1,lf,lm,3315.1,3686.0,185.0,4149,0.799,0.0,3315.1,0.0,lf->lm,ipsilateral
INXXX115,800697,XXX (unassigned),R,acetylcholine,1,rh,lh,3305.8,3926.0,312.0,4592,0.72,3024.1,28.3,253.3,rh->lh,contralateral
IN07B006,905415,07B,L,acetylcholine,1,lm|lf|rh,rh|rm,3255.2,3795.0,1228.0,4240,0.768,768.3,931.0,1556.0,lm->rh lm->rm lf->rh,both
IN12B002,800063,12B,R,gaba,-1,lm|rm|lh,lm|lh,3233.0,4653.0,153.0,10291,0.314,628.1,1809.4,795.5,lm->lh rm->lm rm->lh,both
INXXX003,800088,XXX (unassigned),R,gaba,-1,rf|lf,rm|lh|rh,3215.3,3541.0,106.0,6170,0.521,299.0,1586.5,1329.9,rf->rm rf->lh lf->rm,both
IN17A007,800283,17A,L,acetylcholine,1,lm,lh|lm,3214.8,5371.0,400.0,6386,0.503,75.6,2533.8,605.4,lm->lh lm->rh,ipsilateral
INXXX003,928274,XXX (unassigned),L,gaba,-1,lf|rf,lm|lh,3132.4,3503.0,138.0,6140,0.51,314.4,1664.5,1153.4,lf->lm lf->lh lf->rh,both
IN02A003,805169,02A,R,glutamate,-1,rh,rm,3072.2,3119.0,340.0,4091,0.751,0.4,3036.2,35.6,rh->rm,ipsilateral
IN08B001,903819,08B,R,acetylcholine,1,rf|rm,lm|lh|lf,3048.7,3164.0,783.0,5443,0.56,856.6,323.0,1869.1,rf->lm rf->lh rf->lf,both
IN19A012,800747,19A,L,acetylcholine,1,lf,lm,2997.7,3378.0,576.0,3853,0.778,24.7,2903.3,69.7,lf->lm,ipsilateral
IN03A009,801200,03A,L,acetylcholine,1,lm|lh,lh,2957.5,3630.0,12.0,3918,0.755,71.6,2527.5,358.4,lm->lh lm->rh,ipsilateral
IN12A001,800383,12A,L,acetylcholine,1,rm|lm,lm|lh,2950.6,4203.0,1353.0,4986,0.592,1198.9,935.7,816.0,rm->lm rm->lh lm->lh,both
IN01A009,800298,01A,L,acetylcholine,1,rm|rh,rh,2934.5,3513.0,62.0,3928,0.747,11.0,2862.5,61.0,rm->rh,ipsilateral
IN01A009,903487,01A,L,acetylcholine,1,rf,rm|rh,2929.7,3170.0,192.0,3605,0.813,0.7,2877.0,51.9,rf->rm rf->rh,ipsilateral
IN19A018,800529,19A,R,acetylcholine,1,rh,rm,2921.4,3303.0,20.0,3900,0.749,21.1,2659.9,240.4,rh->rm rh->rf,ipsilateral
IN01A009,800628,01A,R,acetylcholine,1,lm,lh,2912.1,3359.0,10.0,4070,0.715,13.7,2789.1,109.3,lm->lh,ipsilateral
IN19A019,800124,19A,L,acetylcholine,1,lh|lm,lm,2902.7,4721.0,277.0,5249,0.553,0.0,2902.7,0.0,lh->lm,ipsilateral
IN07B001,904587,07B,R,acetylcholine,1,rf|rm,lh|lm|rh,2899.7,2952.0,537.0,4099,0.707,317.0,736.5,1846.2,rf->lh rm->lh rf->lm,both
IN12B002,800246,12B,L,gaba,-1,lh|rh|rm,rm|rh,2895.0,3574.0,230.0,7528,0.385,711.3,1002.8,1180.9,lh->rm lh->rh rh->rm,both
IN19A010,805439,19A,R,acetylcholine,1,rm,rh,2893.4,2944.0,1526.0,3280,0.882,0.5,2846.4,46.5,rm->rh,ipsilateral
IN03A001,801421,03A,R,acetylcholine,1,rh,rm,2887.6,3056.0,735.0,3849,0.75,0.0,2887.6,0.0,rh->rm,ipsilateral
IN06B012,10581,06B,L,gaba,-1,lm|rm,lh|rh|lm,2884.1,3450.0,330.0,4805,0.6,551.7,1172.4,1160.1,,both
IN19A014,803501,19A,L,acetylcholine,1,lh|lm,lm,2861.9,3587.0,388.0,4328,0.661,78.9,2725.6,57.3,lh->lm,ipsilateral
IN10B004,800181,10B,R,acetylcholine,1,lh|lf|lm,lh,2842.5,4654.0,45.0,7243,0.392,125.8,2533.5,183.3,lf->lh lm->lh lh->lm,ipsilateral
IN03A009,801175,03A,L,acetylcholine,1,lf|lm,lm,2828.5,4553.0,28.0,4888,0.579,24.4,2757.8,46.3,lf->lm,ipsilateral
IN03A003,800021,03A,L,acetylcholine,1,lh,lm,2822.2,2962.0,187.0,6362,0.444,97.0,2584.3,140.9,lh->lm,ipsilateral
IN10B004,902553,10B,L,acetylcholine,1,rh|rm|rf,rh|rm,2810.1,4470.0,30.0,6327,0.444,89.5,2265.0,455.7,rm->rh rf->rh rh->rm,ipsilateral
IN07B104,800999,07B,R,glutamate,-1,rm,lm|lh,2798.4,2909.0,110.0,3746,0.747,1088.6,351.4,1358.4,rm->lm rm->lh,both
IN12A004,800472,12A,L,acetylcholine,1,lm,lh|rh|lm,2758.8,3583.0,69.0,5773,0.478,116.2,1931.1,711.5,lm->lh lm->rh,both
IN08B004,800503,08B,L,acetylcholine,1,lm|rm|lf,rm|rh,2749.7,3454.0,186.0,5180,0.531,807.5,780.9,1161.3,lm->rm lm->rh rm->rh,both
IN01A010,800449,01A,R,acetylcholine,1,lm,lh,2738.3,2889.0,13.0,5106,0.536,0.9,2674.3,63.1,lm->lh,ipsilateral
INXXX011,903564,XXX (unassigned),L,acetylcholine,1,lh|lm|rh,rh|lh,2717.6,3735.0,30.0,5981,0.454,1297.5,552.7,867.3,lh->rh lm->rh lm->lh,both
IN08B004,903855,08B,R,acetylcholine,1,lm|rm|rf,lm|lh,2643.8,3553.0,173.0,5441,0.486,820.8,774.4,1048.6,rm->lm lm->lh rm->lh,both
IN14B005,800234,14B,L,glutamate,-1,lh,rh,2637.5,2706.0,343.0,3004,0.878,2493.3,41.7,102.4,lh->rh,contralateral
IN07B002,800354,07B,L,acetylcholine,1,rh|lh,lm|rh|rm|lh,2635.1,3296.0,566.0,4550,0.579,643.7,1019.6,971.7,rh->lm rh->rm rh->lh,both
IN07B006,800313,07B,R,acetylcholine,1,rh|rm|lh,lh|lm|rh,2630.4,3192.0,68.0,4534,0.58,932.0,676.8,1021.6,rh->lh rh->lm rm->lh,both
IN08B001,800135,08B,L,acetylcholine,1,lf|lm,rm|rh|rf,2626.9,2737.0,613.0,4821,0.545,599.2,334.6,1693.1,lf->rm lf->rh lf->rf,both
IN00A002,800700,00A,M,gaba,-1,lh|rh|lm|rm,lm|rm|rh,2625.4,3194.0,5.0,5862,0.448,569.8,1031.4,1024.3,lh->lm rh->lm,both
IN07B104,801052,07B,L,glutamate,-1,lm|lf,rm|rh,2624.8,2736.0,127.0,3244,0.809,861.8,288.4,1474.5,lm->rm lm->rh lf->rm,both
IN19A012,903574,19A,R,acetylcholine,1,rf,rm,2600.9,2837.0,321.0,3225,0.806,113.3,2433.5,54.2,rf->rm,ipsilateral
IN17A007,800334,17A,R,acetylcholine,1,rm,rh|rm,2583.1,3971.0,279.0,4926,0.524,48.5,2042.0,492.6,rm->rh rm->lh,ipsilateral
IN07B001,800562,07B,L,acetylcholine,1,lf|lm,rh|lh|rm,2580.9,2619.0,295.0,4117,0.627,278.1,755.0,1547.8,lf->rh lm->rh lf->lh,both
INXXX025,800516,XXX (unassigned),R,acetylcholine,1,lh|rh,rm|rh|rf,2577.1,3139.0,593.0,4123,0.625,633.1,825.7,1118.3,lh->rm lh->rh rh->rm,both
IN23B001,800206,23B,R,acetylcholine,1,rf|rm,lm|rh|rm|lh|lf,2575.5,2873.0,123.0,3646,0.706,482.5,976.7,1116.3,rf->lm rf->rh rf->rm,both
IN07B006,800426,07B,L,acetylcholine,1,lh|lm,rh|rm|lh,2575.5,3109.0,168.0,4272,0.603,893.3,584.0,1098.1,lh->rh lh->rm,both
IN23B001,800373,23B,L,acetylcholine,1,lf|lm,rh|rm|lh|lm,2573.6,2743.0,192.0,3621,0.711,368.0,855.2,1350.5,lf->rh lf->rm lf->lh,both
IN19A012,800838,19A,L,acetylcholine,1,lm,lh,2564.0,2971.0,401.0,3592,0.714,69.2,2142.1,352.7,lm->lh lm->rh,ipsilateral
IN19A010,800188,19A,L,acetylcholine,1,lm,lh,2557.1,2662.0,1201.0,3337,0.766,0.1,2540.1,16.9,lm->lh,ipsilateral
IN00A002,800477,00A,M,gaba,-1,rh|lh,rh|lh|rm|lm,2540.6,3612.0,5.0,4918,0.517,1052.2,748.0,740.4,lh->rh rh->lh rh->rm,both
IN06B012,800473,06B,R,gaba,-1,rm|rh,rh|rm|lh|lf,2527.6,3084.0,233.0,4310,0.586,489.7,1007.9,1030.1,rm->rh rm->lh rm->lf,both
IN02A003,800672,02A,L,glutamate,-1,lm,lf,2517.8,2666.0,114.0,4458,0.565,7.1,2265.8,244.9,lm->lf,ipsilateral
IN19A014,800907,19A,R,acetylcholine,1,rh|rm,rm,2508.2,3122.0,396.0,3659,0.685,80.7,2355.4,72.1,rh->rm,ipsilateral
IN19A009,805626,19A,R,acetylcholine,1,rm,rh,2502.0,2735.0,216.0,3469,0.721,4.8,2340.2,157.0,rm->rh,ipsilateral
IN19A010,801006,19A,R,acetylcholine,1,rf,rm,2482.1,2553.0,655.0,2990,0.83,10.1,2446.6,25.4,rf->rm,ipsilateral
IN14B005,801356,14B,R,glutamate,-1,rh,lh,2477.1,2589.0,138.0,3319,0.746,2283.0,43.9,150.3,rh->lh,contralateral
IN12A003,800631,12A,L,acetylcholine,1,lf|lm,lm|lh,2475.3,2865.0,587.0,3818,0.648,8.9,2410.6,55.8,lf->lm lf->lh,ipsilateral
IN19A019,1068560359,19A,R,acetylcholine,1,rh|rm,rm,2454.7,3584.0,202.0,3960,0.62,38.5,2386.5,29.7,rh->rm,ipsilateral
IN19A012,804914,19A,R,acetylcholine,1,rm,rh,2436.4,2779.0,274.0,3306,0.737,20.8,2163.1,252.5,rm->rh,ipsilateral
IN07B007,800271,07B,L,glutamate,-1,lh,rh|lm|rm,2420.8,2745.0,81.0,4715,0.513,826.5,997.8,596.5,lh->rh lh->lm lh->rm,both
IN19B021,801077,19B,R,acetylcholine,1,rh|lh,lh,2409.7,3502.0,140.0,4293,0.561,2115.6,75.5,218.6,rh->lh,contralateral
IN07B010,800002,07B,L,acetylcholine,1,lm|lf,rh|rm,2403.8,2797.0,346.0,3752,0.641,469.6,495.1,1439.1,lm->rh lf->rh lm->rm,both
INXXX115,801268,XXX (unassigned),L,acetylcholine,1,lh,rh,2395.2,2784.0,235.0,3141,0.763,2162.7,28.0,204.5,lh->rh,contralateral
INXXX062,801098,XXX (unassigned),L,acetylcholine,1,lh|lm|rh,lf|lm,2392.2,2832.0,34.0,3518,0.68,89.2,1707.6,595.5,lh->lf lh->lm lm->lf,ipsilateral
IN19A009,800921,19A,R,acetylcholine,1,rf,rm,2367.5,2503.0,200.0,2981,0.794,2.5,2291.0,74.0,rf->rm,ipsilateral
IN07B007,800315,07B,R,glutamate,-1,rh,rm|lh|lm,2355.6,2774.0,95.0,5196,0.453,718.2,943.8,693.5,rh->rm rh->lh rh->lm,both
IN27X005,800042,27X,L,gaba,-1,lm|rm,rm|lm|lh,2342.8,2914.0,16.0,8603,0.272,568.3,889.5,885.0,,both
IN19B021,800070,19B,R,acetylcholine,1,rh|lh,lh,2329.9,3307.0,141.0,4088,0.57,1995.9,79.7,254.3,rh->lh,contralateral
IN19A009,800506,19A,L,acetylcholine,1,lf,lm,2329.3,2467.0,180.0,3268,0.713,3.4,2207.0,118.9,lf->lm,ipsilateral
IN18B006,800464,18B,R,acetylcholine,1,rh,lh|rh,2311.9,3570.0,1565.0,3927,0.589,2247.4,34.6,29.9,rh->lh,contralateral
IN12A003,800846,12A,R,acetylcholine,1,rf|rm,rh|rm,2302.1,2630.0,418.0,3324,0.693,94.0,2067.0,141.1,rf->rh rf->rm rm->rh,ipsilateral
IN10B001,800033,10B,R,acetylcholine,1,rf,lf|rm|lm,2258.2,2481.0,0.0,7374,0.306,716.6,739.8,801.8,rf->lf rf->rm rf->lm,both
IN19B004,905025,19B,L,acetylcholine,1,lh,rh,2257.3,2627.0,841.0,3167,0.713,2229.7,11.1,16.5,lh->rh,contralateral
IN06B018,902275,06B,R,gaba,-1,lm|lh|rm,lf|lm,2247.1,2702.0,167.0,4787,0.469,319.0,1169.9,758.1,lm->lf lh->lf rm->lf,both
IN07B010,802951,07B,R,acetylcholine,1,rm,lh|lm,2243.5,2685.0,434.0,3965,0.566,565.8,696.2,981.5,rm->lh rm->lm,both
INXXX036,800121,XXX (unassigned),R,acetylcholine,1,rf|lf,lf,2240.8,3222.0,367.0,3635,0.616,2144.2,17.1,79.4,rf->lf,contralateral
IN01A010,800895,01A,L,acetylcholine,1,rm,rh,2238.2,2299.0,17.0,3621,0.618,0.0,2150.6,87.6,rm->rh,ipsilateral
INXXX023,904800,XXX (unassigned),L,acetylcholine,1,lm|rh|lh,rh|rm,2237.9,2661.0,926.0,4136,0.541,742.0,344.2,1151.6,lm->rh lh->rh lm->rm,both
IN01A010,801104,01A,R,acetylcholine,1,lf,lm,2221.1,2346.0,38.0,3960,0.561,1.1,2180.8,39.1,lf->lm,ipsilateral
IN01A023,801084,01A,R,acetylcholine,1,lh|rh,lh,2202.3,4386.0,1112.0,4690,0.47,1483.3,196.8,522.1,rh->lh rm->lh lh->rh,both
IN12A004,803679,12A,R,acetylcholine,1,rm|rh,rh|lh|rm,2199.6,2924.0,49.0,4396,0.5,196.3,1412.4,591.0,rm->rh rm->lh,both
IN10B001,800037,10B,L,acetylcholine,1,lf,rm|rf|rh,2197.6,2353.0,0.0,7346,0.299,485.9,508.0,1203.7,lf->rm lf->rf lf->rh,both
IN27X005,914445,27X,R,gaba,-1,lm|rm|rh,rm|rh|lh,2196.4,2687.0,7.0,8109,0.271,503.8,848.4,844.2,,both
IN07B006,801049,07B,R,acetylcholine,1,rh,lh|rh,2182.8,2652.0,132.0,3624,0.602,1877.6,52.7,252.5,rh->lh rm->lh,contralateral
IN19B021,801251,19B,L,acetylcholine,1,lh|rh,rh,2169.3,2943.0,139.0,3547,0.612,1993.5,28.1,147.7,lh->rh,contralateral
IN07B012,801576,07B,R,acetylcholine,1,rm|rf,lh|lm,2161.6,2319.0,243.0,2928,0.738,596.5,332.9,1232.1,rm->lh rm->lm,both
IN19B004,800731,19B,R,acetylcholine,1,rh,lh,2145.7,2580.0,613.0,3754,0.572,2079.0,6.5,60.3,rh->lh,contralateral
IN09A009,801656,09A,L,gaba,-1,lh,lm,2139.2,2423.0,16.0,3012,0.71,0.6,2134.2,4.4,lh->lm,ipsilateral
IN09A009,903222,09A,R,gaba,-1,rh,rm,2136.3,2423.0,26.0,2903,0.736,0.0,2136.3,0.0,rh->rm,ipsilateral
IN19B011,903300,19B,R,acetylcholine,1,rf,lm|lh|rh,2129.0,2205.0,184.0,2920,0.729,210.0,638.5,1280.6,rf->lm rf->lh rf->rh,both
IN05B003,800343,05B,L,gaba,-1,rh|lf|lm,lm|rm|lf,2117.0,2560.0,5.0,5047,0.419,404.2,863.1,849.7,,both
IN02A003,800785,02A,R,glutamate,-1,rm,rf,2113.1,2234.0,112.0,3682,0.574,38.1,1748.1,326.9,rm->rf rm->lf,ipsilateral
IN01A005,801706,01A,R,acetylcholine,1,lf|lm,lm,2091.7,2624.0,11.0,3632,0.576,152.3,1667.9,271.6,lf->lm,ipsilateral
IN03A009,801857,03A,R,acetylcholine,1,rf|rm,rm,2090.3,3331.0,82.0,3627,0.576,3.2,2085.3,1.8,rf->rm,ipsilateral
IN07B007,800566,07B,L,glutamate,-1,lm,rh|rm|lh|lf,2089.0,2335.0,50.0,4147,0.504,492.3,831.6,765.0,lm->rh lm->rm lm->lh,both
IN01A010,801449,01A,L,acetylcholine,1,rf,rm,2078.0,2223.0,44.0,3233,0.643,3.7,1948.1,126.2,rf->rm,ipsilateral
IN07B007,800654,07B,R,glutamate,-1,rm,rh|lm|lh,2075.3,2386.0,74.0,4028,0.515,588.6,902.9,583.9,rm->rh rm->lm rm->lh,both
IN14B001,801116,14B,R,gaba,-1,rm|rf,lm|lh,2056.1,2092.0,795.0,2789,0.737,746.2,50.7,1259.2,rm->lm rm->lh rf->lm,both
IN04B001,800125,04B,L,acetylcholine,1,lh,lm|lh,2050.6,2597.0,369.0,5560,0.369,279.4,1546.2,225.0,lh->lm lh->rh,ipsilateral
IN19B011,800142,19B,L,acetylcholine,1,lf,rm|rh|lh,2048.6,2127.0,278.0,2723,0.752,153.2,460.0,1435.3,lf->rm lf->rh lf->lh,both
IN18B021,801748,18B,R,acetylcholine,1,rh|lh,lh,2039.0,2965.0,240.0,3344,0.61,1846.9,50.2,141.9,rh->lh,contralateral
IN18B018,801913,18B,R,acetylcholine,1,rm|lm|rf|lh,lh|lm,2026.2,2513.0,72.0,2943,0.688,327.9,793.3,905.1,rm->lh lm->lh rf->lh,both
IN19A027,801278,19A,L,acetylcholine,1,lm,lh|rh|lm,2011.9,2487.0,237.0,3170,0.635,16.0,1455.9,540.0,lm->lh lm->rh,ipsilateral
IN12A001,903429,12A,R,acetylcholine,1,rm|lm,rm|rh,1999.3,3343.0,1073.0,4189,0.477,668.2,877.8,453.4,rm->rh lm->rm lm->rh,both
IN09A004,800059,09A,L,gaba,-1,lh|lm,lm,1996.7,3118.0,589.0,3495,0.571,5.7,1987.7,3.3,lh->lm,ipsilateral
IN06A028,801953,06A,R,gaba,-1,rm,lh|rh,1992.7,2055.0,0.0,2997,0.665,23.1,416.9,1552.7,rm->lh rm->rh,both
IN03A005,801474,03A,L,acetylcholine,1,lm|lh,lf,1979.6,2080.0,61.0,2279,0.869,4.1,1880.7,94.8,lm->lf lh->lf,ipsilateral
IN03A001,800459,03A,L,acetylcholine,1,lm,lf,1958.3,2005.0,480.0,3079,0.636,1.7,1732.5,224.1,lm->lf lm->rf,ipsilateral
IN19B005,801261,19B,R,acetylcholine,1,rf,lf,1937.8,1959.0,119.0,2185,0.887,1396.4,188.1,353.4,rf->lf rf->lm,contralateral
IN07B007,800004,07B,R,glutamate,-1,rf,lm|lf|rm,1933.1,2100.0,42.0,3547,0.545,507.9,635.1,790.1,rf->lm rf->lf rf->rm,both
INXXX036,800567,XXX (unassigned),L,acetylcholine,1,lf,rf,1926.0,2348.0,378.0,2752,0.7,1868.0,7.8,50.3,lf->rf,contralateral
INXXX029,800829,XXX (unassigned),L,acetylcholine,1,lf|rf,lm|lf|lh,1923.1,2337.0,291.0,3018,0.637,277.1,962.1,683.9,lf->lm rf->lm lf->lh,both
INXXX029,800956,XXX (unassigned),R,acetylcholine,1,lf,rh|rm,1905.7,2160.0,425.0,2858,0.667,289.7,491.6,1124.4,lf->rh lf->rm,both
IN01A005,801646,01A,R,acetylcholine,1,lm,lh|lm,1902.7,2266.0,76.0,3205,0.594,27.2,1817.7,57.8,lm->lh,ipsilateral
INXXX048,801508,XXX (unassigned),R,acetylcholine,1,rh,lh|lm,1897.8,2018.0,113.0,2936,0.646,1219.2,43.3,635.4,rh->lh rh->lm,both
IN07B008,800308,07B,R,glutamate,-1,rm|rf|rh,lh|lm|lf,1883.9,1951.0,74.0,2769,0.68,560.9,242.1,1081.0,rm->lh rm->lm,both
IN18B006,800910,18B,L,acetylcholine,1,lh,rh|lh,1876.8,2672.0,1166.0,3284,0.571,1846.8,24.4,5.6,lh->rh,contralateral
IN19B021,801783,19B,L,acetylcholine,1,lh|rh,rh,1863.2,2408.0,146.0,2840,0.656,1595.8,52.9,214.4,lh->rh,contralateral
IN12B005,801432,12B,L,gaba,-1,lf|lm|lh,rh|rm,1860.8,1948.0,294.0,2995,0.621,450.9,200.7,1209.1,lf->rh lm->rh lh->rh,both
IN07B009,800311,07B,R,glutamate,-1,rh,lm|lh,1860.0,1981.0,98.0,2606,0.714,646.5,283.2,930.3,rh->lm rh->lh rh->lf,both
IN01A005,801502,01A,L,acetylcholine,1,rm,rh,1848.2,2173.0,75.0,3068,0.602,13.9,1766.9,67.4,rm->rh,ipsilateral
IN05B003,800262,05B,R,gaba,-1,rh|rm,rm|lm|rh|lh,1847.6,2280.0,5.0,4524,0.408,413.6,725.2,708.7,,both
IN14B004,800880,14B,R,glutamate,-1,rf,lf|lm,1831.0,2014.0,11.0,2188,0.837,898.4,152.9,779.7,rf->lf rf->lm,both
IN09A004,801129,09A,R,gaba,-1,rh|rm,rm,1829.4,2755.0,503.0,3011,0.608,40.4,1769.4,19.6,rh->rm,ipsilateral
IN01A007,801286,01A,L,acetylcholine,1,rm,rh|rm,1827.6,2338.0,253.0,3382,0.54,4.5,1768.8,54.3,rm->rh,ipsilateral
IN07B013,801113,07B,R,glutamate,-1,rh,lm|lf,1826.0,1945.0,5.0,3125,0.584,297.8,117.0,1411.2,rh->lm rh->lf rh->lh,both
IN14B001,801171,14B,L,gaba,-1,lm|lf,rm|rh,1816.8,1840.0,744.0,2432,0.747,586.2,86.4,1144.2,lm->rm lm->rh lf->rm,both
IN03A012,802233,03A,L,acetylcholine,1,lh|lm,lm,1814.6,2397.0,28.0,2888,0.628,1.0,1809.6,4.0,lh->lm,ipsilateral
IN19B030,802489,19B,R,acetylcholine,1,rh,lh|lm|rh,1800.9,2306.0,843.0,2561,0.703,971.2,65.7,764.1,rh->lh rh->lm rh->lf,both
IN19B027,800996,19B,R,acetylcholine,1,rh|lh,lh,1800.6,2643.0,276.0,3071,0.586,1701.2,21.7,77.7,rh->lh,contralateral
INXXX022,800182,XXX (unassigned),R,acetylcholine,1,rh,lh|lm,1798.2,1876.0,367.0,2357,0.763,1349.6,29.7,418.9,rh->lh rh->lm,contralateral
IN01A008,800432,01A,L,acetylcholine,1,lf|lm|lh,rh|lh|rm,1792.6,2020.0,311.0,3049,0.588,347.3,544.5,900.8,lf->rh lm->rh lf->lh,both
IN07B008,800969,07B,L,glutamate,-1,lm|lf|lh,rm|rh|lh,1790.8,1876.0,79.0,2631,0.681,544.3,382.4,864.1,lm->rm lm->rh lm->lh,both
IN17A001,800003,17A,L,acetylcholine,1,lh,lh,1783.1,8077.0,93.0,10252,0.174,597.3,1027.1,158.7,lh->lm lh->rh lm->lh,both
INXXX066,902796,XXX (unassigned),L,acetylcholine,1,lh,rh,1776.1,2052.0,727.0,2267,0.783,1630.7,4.4,141.0,lh->rh,contralateral
IN03A009,934618,03A,R,acetylcholine,1,rm|rh,rh,1773.9,2195.0,6.0,2370,0.748,74.1,1511.1,188.7,rm->rh rm->lh,ipsilateral
