[2026-09-17 05:43:00] network_view:122 Initialized network view at /home/nate/code/fly-afterlife/flyvis_data/results/flow/0000/000
[2026-09-17 05:43:00] logging_utils:23 epe not in /home/nate/code/fly-afterlife/flyvis_data/results/flow/0000/000/validation, but 'loss' is. Falling back to 'loss'. You can rerun the ensemble validation to make appropriate recordings of the losses.
[2026-09-17 05:43:10] network:222 Initialized network with NumberOfParams(free=734, fixed=2959) parameters.
[2026-09-17 05:43:10] chkpt_utils:36 Recovered network state.
her readouts: pC1 10, vpoEN 4, ORN_DA1 126, JO 1104, DNa02 1/1
his readouts: pC1 156, pIP10 2, mAL 159, LC10a 275, ORN_VA1v 15/73
his DNa02 rest offset +0.00/chunk
pace baselines per chunk: his leg MN 374, her DN 26
touch reflex: leg-MN asymmetry (R-L)/(R+L) with left bristles -0.099, right +0.050 -> gain 80 deg per unit asymmetry
t=120.0s  him (-0.28,-1.92)  -1133  her (+0.88,+1.74)  dist 3.85  pC1 24 pIP10 1 LC10a 0 | her pC1 22 vpoEN 0 | contacts 0 songs 0 | pace him 0.17 her 0.15 m/s  (383s)
t=125.0s  him (-1.68,-1.92)  -1257  her (+0.22,+1.41)  dist 3.83  pC1 456 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.46 her 0.15 m/s  (400s)
t=130.0s  him (-1.90,-0.85)  -1379  her (-0.40,+0.98)  dist 2.36  pC1 384 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.42 her 0.15 m/s  (416s)
t=135.0s  him (-1.29,-0.45)  -1418  her (-0.99,+0.53)  dist 1.03  pC1 0 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.15 her 0.15 m/s  (433s)
t=140.0s  him (-0.77,-0.46)  -1528  her (-1.33,-0.08)  dist 0.68  pC1 0 pIP10 2 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.13 her 0.15 m/s  (450s)
t=145.0s  him (-1.00,-1.16)  -1555  her (-0.90,-0.65)  dist 0.52  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.15 her 0.15 m/s  (465s)
t=150.0s  him (-1.39,-1.72)  -1511  her (-0.25,-1.03)  dist 1.33  pC1 1 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.15 her 0.15 m/s  (482s)
t=155.0s  him (-0.72,-1.82)  -1435  her (+0.46,-1.24)  dist 1.32  pC1 0 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.15 her 0.15 m/s  (499s)
t=160.0s  him (-0.33,-1.92)  -1553  her (+1.20,-1.16)  dist 1.71  pC1 192 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.29 her 0.15 m/s  (514s)
t=165.0s  him (-1.92,-1.92)  -1623  her (+1.88,-1.00)  dist 3.91  pC1 374 pIP10 1 LC10a 0 | her pC1 7 vpoEN 0 | contacts 0 songs 0 | pace him 0.41 her 0.15 m/s  (532s)
