s,t,flyvis_syn_per_target,malecns_syn_per_target,strength,sign,ratio
R1,L1,40.000003814697266,92.68694096601074,0.006883954629302025,-1.0,2.3171733031674018
R1,L2,46.000003814697266,97.24285714285715,0.006281414069235325,-1.0,2.1139749799713603
R1,L3,11.000000953674316,25.366171003717472,0.003382885130122304,-1.0,2.306015345866351
R1,Am,36.0,,0.010790041647851467,-1.0,
R1,T1,2.0,5.0879396984924625,0.032186221331357956,-1.0,2.5439698492462313
R2,L1,43.000003814697266,,0.006851338781416416,-1.0,
R2,L2,45.000003814697266,,0.006325086113065481,-1.0,
R2,L3,10.0,,0.003422003472223878,-1.0,
R2,Am,38.999996185302734,,0.010601052083075047,-1.0,
R2,T1,2.0,,0.030391693115234375,-1.0,
R3,L1,37.000003814697266,,0.006986481137573719,-1.0,
R3,L2,38.999996185302734,,0.006016135681420565,-1.0,
R3,L3,4.0,,0.0001243014121428132,-1.0,
R3,Am,40.000003814697266,,0.013502473942935467,-1.0,
R3,T1,2.0,,0.050727877765893936,-1.0,
R4,L1,38.0,,0.006827679928392172,-1.0,
R4,L2,41.0,,0.00640211021527648,-1.0,
R4,L3,8.0,,0.006484157405793667,-1.0,
R4,Am,37.000003814697266,,0.009840554557740688,-1.0,
R4,T1,2.0,,0.027353329584002495,-1.0,
R5,L1,38.0,,0.00683774147182703,-1.0,
R5,L2,38.999996185302734,,0.006382536608725786,-1.0,
R5,L3,6.0,,0.011712955310940742,-1.0,
R5,Am,35.000003814697266,,0.009927275590598583,-1.0,
R5,T1,2.0,,0.02608952298760414,-1.0,
R6,L1,45.000003814697266,,0.006865931674838066,-1.0,
R6,L2,47.00000762939453,,0.006338044535368681,-1.0,
R6,L3,12.0,,0.010017878375947475,-1.0,
R6,Am,40.000003814697266,,0.01009966991841793,-1.0,
R6,T1,2.0,,0.028651604428887367,-1.0,
R7,R8,1.2999999523162842,,0.02396777831017971,-1.0,
R7,Mi9,1.5833334922790527,,0.1453671157360077,-1.0,
R7,Mi15,1.25,,3.1123734515858814e-05,-1.0,
R7,Tm5a,12.571429252624512,,0.0834275558590889,-1.0,
R7,Tm5b,12.583333015441895,,0.056350454688072205,-1.0,
R8,R7,18.30000114440918,,0.029763948172330856,-1.0,
R8,L1,5.099999904632568,,0.008177070878446102,-1.0,
R8,L3,1.2999999523162842,,0.0102297468110919,-1.0,
R8,Mi1,11.399999618530273,,0.1755271852016449,1.0,
R8,Mi4,16.30000114440918,,0.06370801478624344,1.0,
R8,Mi9,2.5999999046325684,,0.028528667986392975,1.0,
R8,Mi15,12.5,,0.042964283376932144,1.0,
R8,Tm5c,8.333333969116211,,0.07741304486989975,-1.0,
R8,Tm20,12.777777671813965,,0.01642346940934658,-1.0,
L1,L5,88.76923370361328,76.2182428651371,0.0002473123022355139,-1.0,0.858611026424065
L1,Lawf2,95.00000762939453,2.2758620689655173,0.0011894640047103167,-1.0,0.02395644090728819
L1,C2,41.27273178100586,30.645272206303726,0.0014294161228463054,-1.0,0.742506514201878
L1,C3,73.87499237060547,53.15973003374578,0.0,-1.0,0.7195903285791445
L1,Mi1,136.28570556640625,80.28514963297572,0.0006826901808381081,-1.0,0.589094427029665
L1,Tm3,62.58839797973633,73.7765335929893,0.003595290007069707,-1.0,1.178757341206836
L2,R1,1.0,2.85232452142206,0.014986852183938026,1.0,2.85232452142206
L2,R2,2.0,,0.009722319431602955,1.0,
L2,L1,3.0,3.507848568790397,0.0010714333038777113,1.0,1.1692828562634656
L2,L4,13.000000953674316,15.779300891021247,0.002384813502430916,1.0,1.213792287189132
L2,L5,43.000003814697266,48.598088813940414,0.0014394012978300452,1.0,1.1301880116887277
L2,Lawf2,95.00000762939453,1.75,0.016119334846735,1.0,0.018421051152195084
L2,C3,4.874999523162842,4.200116009280743,0.003370161633938551,1.0,0.8615623425857809
L2,Mi1,1.5714285373687744,2.096903096903097,0.012177509255707264,1.0,1.3343929087696127
L2,Mi4,4.5714287757873535,2.802027027027027,0.006297620944678783,1.0,0.6129433847614576
L2,Mi9,1.0,1.8123076923076924,0.011821292340755463,1.0,1.8123076923076924
L2,T1,139.6000213623047,88.87887323943661,0.0,1.0,0.6366680489881072
L2,Tm1,144.0909423828125,115.79932356257046,0.0023441568482667208,1.0,0.803654425792577
L2,Tm2,123.16667938232422,125.31784702549575,0.0,1.0,1.0174655000358828
L2,Tm4,73.91865539550781,97.59820359281437,0.0009736274369060993,1.0,1.3203460353899459
L2,Tm20,10.0,9.279881656804733,0.0009909808868542314,1.0,0.9279881656804733
L2,TmY3,9.433333396911621,17.438574938574938,0.0006623279768973589,1.0,1.8486121718420503
L3,Lawf1,1.0,15.958448753462603,0.0050353193655610085,1.0,15.958448753462603
L3,C3,4.3636369705200195,7.9026047565118915,0.055776968598365784,1.0,1.8110133381627596
L3,Mi1,14.142857551574707,20.164592760180994,2.286698145326227e-05,1.0,1.425779244869493
L3,Mi2,7.183333396911621,14.916496945010183,0.0639086589217186,1.0,2.076542479766195
L3,Mi9,36.71428298950195,53.96843291995491,0.11367037892341614,1.0,1.469957425980145
L3,Mi13,2.142857074737549,9.566037735849056,0.11382981389760971,1.0,4.464151085307767
L3,Mi15,2.892857313156128,1.5921052631578947,0.014009225182235241,1.0,0.5503573425199103
L3,Tm3,1.2666666507720947,1.427807486631016,2.612187927297782e-05,1.0,1.1272164509586624
L3,Tm5Y,2.4107141494750977,6.827859569648924,0.04095585271716118,1.0,2.8322974630300335
L3,Tm5a,1.1666666269302368,9.651666666666667,0.004234987311065197,1.0,8.272857424628988
L3,Tm5c,38.66666793823242,62.04933333333334,0.02170425094664097,1.0,1.6047240851591675
L3,Tm9,24.0,27.772881355932203,0.03925008326768875,1.0,1.1572033898305085
L3,Tm20,20.30000114440918,30.198637911464246,0.03702010586857796,1.0,1.4876175472424171
L3,Tm28,5.599999904632568,,0.017797967419028282,1.0,
